Area,AspectRatio,Diameter,MeanGrey,StageX,StageY,O,Mgx,Alx,Si,S,Cax,Ti,Mn,Fe,Mg,Al,Ca
0.1380756,1.802773,0.419289,133.3333,0.035792,0.08913,14.07208,4.53504,9.890768,0.01812403,0.7548991,0.1769248,0,7.443497,63.10867,0.334021496,0.658077895,0.007900609
1.610882,1.201823,1.432145,74.62857,0.397084,0.12084,28.2022,1.428028,20.15467,0.03302504,1.124065,11.22722,0,7.401736,30.42906,0.054006898,0.688560644,0.257432458
0.4832645,1.166191,0.7844179,83.66666,0.368686,0.05903,18.84043,1.288346,13.58396,0,1.157182,7.06271,0,6.192351,51.87503,0.072211076,0.6877834,0.240005524
0.09205039,1.581116,0.3423481,124.5,0.395079,0.00646,12.03937,3.524078,7.571541,0.02241611,0.1489438,0.3220122,0.5198013,2.238877,73.61296,0.333750192,0.647760235,0.018489574
0.09205039,1.414207,0.3423481,130,0.489506,0.13331,11.79306,3.503894,7.569902,0,0.3816765,0,0.06926093,6.537226,70.14498,0.338798015,0.661201985,0
0.9895417,1.217077,1.122463,89.48837,0.48227,0.04565,25.92347,1.065238,18.49554,0.2308318,1.641204,14.6026,0,2.266802,35.77432,0.040006719,0.627490694,0.332502588
0.2531386,1.699666,0.5677201,110.0909,0.682625,0.03171,15.13108,4.831249,12.76223,0,0,0,1.523243,7.662749,58.08945,0.295309432,0.704690568,0
4.901683,1.235321,2.498203,74.21597,0.828853,0.1311,33.31999,1.321096,23.48847,0.2274722,0.3387742,16.67662,0,7.323253,17.30433,0.040462197,0.649865988,0.309671815
0.5523024,1.116656,0.838578,93.5,1.004552,0.08993,15.18803,2.524976,10.39034,0.2473059,1.228685,2.746317,0.8020442,7.363856,59.50845,0.185986808,0.691366988,0.122646204
0.8744787,1.418077,1.055188,82.02631,1.001866,0.05322,18.98059,1.316855,13.13924,0.253599,1.421071,7.681728,0,3.818656,53.38827,0.073800402,0.665188929,0.261010669
0.1610882,1.201848,0.4528839,114.8571,1.145821,0.10195,15.44314,5.562956,10.58814,0,0.1125086,0.1001488,0.06233937,7.843415,60.28735,0.366262838,0.629739449,0.003997712
0.09205039,1.789472,0.3423481,119.25,1.238755,0.13384,10.08339,2.665961,5.894296,0.0663273,0,0,0,3.314375,77.97565,0.333639316,0.666360684,0
0.1841008,1.369882,0.4841533,86.625,1.353565,0.02124,18.12434,5.777601,12.02516,0.000511028,0.190007,0.3407544,0,5.738089,57.80354,0.342943905,0.644793127,0.012262967
0.6213402,1.340636,0.8894464,85.18519,1.485059,0.1143,16.78755,3.785423,12.31248,0.1438855,1.183638,2.083575,0,8.828423,54.87502,0.234085763,0.687796746,0.078117491
0.115063,1.116654,0.3827568,80.4,1.475267,0.08581,16.42858,5.276659,10.95506,0.1734705,0.657877,0,0.2677477,4.920887,61.31971,0.347769441,0.652230559,0
7.179931,1.187394,3.023536,75.60897,1.686972,0.06274,34.63923,1.927072,23.10574,0.3133846,1.10456,16.78248,0.1044812,1.915425,20.10763,0.058441192,0.632987302,0.308571507
0.3682016,1.34131,0.6846961,88.625,1.630084,0.01102,15.03835,3.118641,11.01933,0.1327514,0.8625956,2.769487,0,8.730767,58.32808,0.211404468,0.674773412,0.11382212
0.1841008,1.374349,0.4841533,110,1.57545,0.0033,8.027304,3.021085,5.376849,0.127846,0.1935283,0.1869408,0,8.649845,74.4166,0.37803358,0.607784008,0.014182412
0.115063,1.80278,0.3827568,118.2,1.599265,0.00292,7.926914,2.607946,4.937959,0.3667415,0.427969,0,0,9.007258,74.72521,0.36894645,0.63105355,0
2.784524,1.133453,1.882914,74.6033,1.766664,0.07949,29.31389,1.486471,20.5896,0,0.2081448,12.82612,0,5.192273,30.3835,0.053350595,0.667551429,0.279097976
0.09205039,1.414215,0.3423481,121,1.845949,0.06106,8.19137,2.049833,4.03591,0,0.03444898,0.1729081,0,0,85.51553,0.353389807,0.628537227,0.018072966
0.5983275,1.184371,0.8728197,82.42308,1.705092,0.03386,15.02889,2.567071,10.93257,0.1745289,1.634551,1.638265,0,6.741796,61.28233,0.191056029,0.73501995,0.073924021
0.1610882,1.201846,0.4528839,95.28571,2.058486,0.11413,12.87329,4.596891,8.81548,0.0182331,0.5837951,0,0,8.82905,64.28326,0.365985264,0.634014736,0
0.115063,1.985355,0.3827568,130,2.140529,0.05352,7.313317,1.938582,4.149821,0,0.135368,0.526251,0.2611696,4.057425,81.61806,0.322754642,0.624125144,0.053120214
0.6443527,1.118032,0.9057679,74.07143,2.056146,0.04072,25.48592,4.224628,17.52927,0,0.6853357,4.210531,0,5.253935,42.61037,0.186827843,0.700278756,0.112893401
2.140172,1.252997,1.650743,74.7957,2.049585,0.02769,28.70908,1.771695,20.44598,0,0.4825024,11.07575,0,8.539215,28.97577,0.065724048,0.685168311,0.249107641
1.426781,1.397484,1.347826,83.56451,2.058347,0.01523,21.97109,0.7658347,15.64344,0.3242573,0.2239483,9.667779,0.7136326,8.592637,42.09738,0.036892189,0.680746846,0.282360965
0.2071134,1.483374,0.5135221,101.7778,2.210286,0.09639,19.08572,5.555036,13.77143,0.3863719,0,0,0.01503935,5.09684,56.08956,0.308692026,0.691307974,0
1.77197,1.332919,1.502046,75.8961,2.345749,0.09448,26.3662,3.173982,19.99793,0.4350627,0.8707454,8.565333,0,6.592753,33.99799,0.120080674,0.683451487,0.196467839
0.6673653,1.523097,0.9218004,87.4138,2.413389,0.08821,15.48499,0.1016699,9.447892,0.4188687,1.708025,7.316175,0.1831325,7.872475,57.46677,0.007777633,0.652895932,0.339326435
3.728041,1.151664,2.17869,73.33951,2.613243,0.0588,29.7577,1.734035,22.03444,0.1962079,0.8702429,12.27218,0.2213734,8.6052,24.30861,0.059631413,0.68449968,0.255868908
0.1610882,1.201847,0.4528839,114.1429,2.641368,0.13093,10.91224,3.942633,6.911491,0.09716205,0.1481641,0.0127777,0.06491479,7.243255,70.66736,0.386766003,0.612474032,0.000759964
0.4142268,1.581104,0.7262299,86.77778,2.757959,0.05656,14.67769,0.8196178,8.384904,0.2141915,0.3033935,5.238004,0.07673698,6.761906,63.52356,0.07084101,0.654674538,0.274484452
0.230126,1.661215,0.5412998,104.3,2.766321,0.01132,13.65126,5.279918,9.486606,0.03132911,0.2966642,0.120297,0,4.468755,66.66517,0.379235322,0.615526082,0.005238597
0.6443527,1.118034,0.9057679,87.14286,2.88208,0.11839,21.85791,0.2581707,16.00162,0.001447555,0,10.4151,0,9.955081,41.51067,0.012277642,0.687426025,0.300296333
